model,AUC (source),AUC (target),pAUC
time_mask_spec_1_10_MAHALA,68.42,68.08,54.68421052631579
time_mask_spec_1_10_MSE,57.66,57.54,50.89473684210526
time_mask_spec_1_20_MAHALA,69.3,69.3,54.421052631578945
time_mask_spec_1_20_MSE,58.879999999999995,59.14,51.578947368421055
time_mask_spec_1_30_MAHALA,67.26,68.58,55.10526315789473
time_mask_spec_1_30_MSE,57.78000000000001,59.48,52.1578947368421
time_mask_spec_1_40_MAHALA,66.84,66.03999999999999,52.26315789473684
time_mask_spec_1_40_MSE,56.56,57.11999999999999,50.68421052631579
time_mask_spec_1_50_MAHALA,69.63999999999999,69.94,54.57894736842105
time_mask_spec_1_50_MSE,54.580000000000005,58.4,50.1578947368421
time_mask_spec_2_10_MAHALA,65.74,65.8,51.78947368421053
time_mask_spec_2_10_MSE,52.540000000000006,56.54,50.21052631578947
time_mask_spec_2_20_MAHALA,68.28,67.58,54.473684210526315
time_mask_spec_2_20_MSE,58.03999999999999,58.36,52.10526315789473
time_mask_spec_2_30_MAHALA,70.84,68.2,55.47368421052632
time_mask_spec_2_30_MSE,59.9,58.60000000000001,52.89473684210526
time_mask_spec_2_40_MAHALA,69.4,68.84,55.421052631578945
time_mask_spec_2_40_MSE,58.34,59.06,52.89473684210526
time_mask_spec_2_50_MAHALA,69.46000000000001,70.44,55.26315789473685
time_mask_spec_2_50_MSE,59.08000000000001,60.480000000000004,52.21052631578947
time_mask_spec_3_10_MAHALA,67.46,68.46,55.47368421052632
time_mask_spec_3_10_MSE,56.86,57.96,52.63157894736842
time_mask_spec_3_20_MAHALA,67.6,68.68,54.736842105263165
time_mask_spec_3_20_MSE,57.83999999999999,58.64,52.421052631578945
time_mask_spec_3_30_MAHALA,67.67999999999999,69.72,55.263157894736835
time_mask_spec_3_30_MSE,58.220000000000006,59.919999999999995,53.05263157894737
time_mask_spec_3_40_MAHALA,69.3,69.26,54.52631578947369
time_mask_spec_3_40_MSE,58.18,58.56,52.84210526315789
time_mask_spec_3_50_MAHALA,70.08000000000001,69.14000000000001,54.68421052631579
time_mask_spec_3_50_MSE,58.98,60.06,53.94736842105263
