model,AUC (source),AUC (target),pAUC
time_mask_150_MSE,59.36,60.5,51.68
time_mask_100_MSE,59.76,58.88,50.05
time_mask_350_MSE,60.0,60.66,52.63
time_mask_125_MSE,60.26,60.42,53.74
time_mask_75_MSE,60.32,61.1,51.53
time_mask_175_MSE,60.72,59.74,52.74
time_mask_275_MSE,60.82,62.06,51.0
time_mask_325_MSE,60.82,60.86,52.53
time_mask_200_MSE,61.04,59.84,52.79
time_mask_300_MSE,61.12,60.5,54.0
time_mask_225_MSE,61.26,60.42,53.16
time_mask_250_MSE,61.6,59.96,51.79
time_mask_50_MSE,62.02,59.22,52.53
time_mask_400_MSE,62.3,60.52,55.16
time_mask_375_MSE,62.7,61.42,51.11
time_mask_150_MAHALA,68.62,68.8,54.53
time_mask_325_MAHALA,68.82,69.98,53.42
time_mask_50_MAHALA,69.26,68.2,53.26
time_mask_100_MAHALA,69.64,68.84,52.05
time_mask_75_MAHALA,70.08,70.8,53.42
time_mask_125_MAHALA,70.62,70.0,54.53
time_mask_350_MAHALA,70.9,70.72,54.53
time_mask_300_MAHALA,70.92,69.48,54.63
time_mask_275_MAHALA,71.06,70.58,54.58
time_mask_175_MAHALA,71.32,69.48,53.79
time_mask_250_MAHALA,71.86,68.38,52.11
time_mask_200_MAHALA,71.98,69.42,53.74
time_mask_225_MAHALA,72.32,71.58,53.95
time_mask_375_MAHALA,72.82,69.64,53.0
time_mask_400_MAHALA,73.32,70.12,56.26
