model,AUC (source),AUC (target),pAUC
baseline_MAHALA,72.4,69.96,54.32
time_mask_500_MAHALA,67.48,70.22,54.37
time_mask_150_MAHALA,68.62,68.8,54.53
time_mask_325_MAHALA,68.82,69.98,53.42
time_mask_50_MAHALA,69.26,68.2,53.26
time_mask_100_MAHALA,69.64,68.84,52.05
time_mask_75_MAHALA,70.08,70.8,53.42
time_mask_125_MAHALA,70.62,70.0,54.53
time_mask_475_MAHALA,70.66,67.74,52.68
time_mask_350_MAHALA,70.9,70.72,54.53
time_mask_300_MAHALA,70.92,69.48,54.63
time_mask_275_MAHALA,71.06,70.58,54.58
time_mask_425_MAHALA,71.16,70.7,54.21
time_mask_175_MAHALA,71.32,69.48,53.79
time_mask_250_MAHALA,71.86,68.38,52.11
time_mask_200_MAHALA,71.98,69.42,53.74
time_mask_225_MAHALA,72.32,71.58,53.95
time_mask_450_MAHALA,72.52,71.54,55.95
time_mask_375_MAHALA,72.82,69.64,53.0
time_mask_400_MAHALA,73.32,70.12,56.26
