model,AUC (source),AUC (target),pAUC
baseline_MSE,60,59.86,52.47
time_mask_150_MSE,59.36,60.5,51.68
time_mask_500_MSE,59.56,61.28,54.21
time_mask_475_MSE,59.62,58.74,52.63
time_mask_100_MSE,59.76,58.88,50.05
time_mask_350_MSE,60.0,60.66,52.63
time_mask_125_MSE,60.26,60.42,53.74
time_mask_75_MSE,60.32,61.1,51.53
time_mask_425_MSE,60.7,60.7,52.95
time_mask_175_MSE,60.72,59.74,52.74
time_mask_325_MSE,60.82,60.86,52.53
time_mask_275_MSE,60.82,62.06,51.0
time_mask_200_MSE,61.04,59.84,52.79
time_mask_450_MSE,61.04,61.5,54.47
time_mask_300_MSE,61.12,60.5,54.0
time_mask_225_MSE,61.26,60.42,53.16
time_mask_250_MSE,61.6,59.96,51.79
time_mask_50_MSE,62.02,59.22,52.53
time_mask_400_MSE,62.3,60.52,55.16
time_mask_375_MSE,62.7,61.42,51.11
